col	row	isTF	isLib	isDud	isAmbg	nCall	cf	ie	dr	keySNR	keySD	keySig	oneSig	zeroSig	ppf	medAbsRes	multiplier
29	3	0	1	0	0	129	0.0120	0.0088	0.00023	29.689	0.033	0.970	0.971	0.001	0.533	0.035	0.000
8	4	0	1	0	0	101	0.0120	0.0088	0.00023	18.909	0.055	1.039	1.040	0.001	0.383	0.027	0.000
6	4	0	1	0	0	119	0.0120	0.0088	0.00023	18.380	0.052	0.956	0.957	0.001	0.450	0.035	0.000
3	4	0	1	0	0	118	0.0120	0.0088	0.00023	17.385	0.056	0.979	0.980	0.001	0.433	0.030	0.024
11	4	0	1	0	0	120	0.0120	0.0088	0.00023	25.212	0.037	0.943	0.965	0.022	0.350	0.022	0.000
12	4	0	1	0	0	109	0.0120	0.0088	0.00023	42.616	0.024	1.037	1.039	0.001	0.450	0.036	0.000
13	4	0	1	0	0	117	0.0120	0.0088	0.00023	24.010	0.043	1.032	1.033	0.001	0.450	0.028	0.000
17	4	0	1	0	0	111	0.0120	0.0088	0.00023	20.757	0.051	1.048	1.064	0.015	0.417	0.031	0.000
14	4	0	1	0	0	115	0.0120	0.0088	0.00023	10.037	0.099	0.999	1.000	0.001	0.367	0.021	0.001
22	4	0	1	0	0	122	0.0120	0.0088	0.00023	9.704	0.099	0.956	0.957	0.001	0.433	0.034	0.000
23	4	0	1	0	0	106	0.0120	0.0088	0.00023	29.392	0.031	0.899	0.928	0.029	0.400	0.058	0.011
15	4	0	1	0	0	114	0.0120	0.0088	0.00023	17.440	0.058	1.003	1.005	0.002	0.367	0.035	0.000
27	4	0	1	0	0	110	0.0120	0.0088	0.00023	9.585	0.106	1.018	1.019	0.001	0.383	0.038	0.000
48	3	0	1	0	0	129	0.0120	0.0088	0.00023	24.364	0.041	1.009	1.019	0.010	0.400	0.021	0.000
19	4	0	1	0	0	115	0.0120	0.0088	0.00023	11.758	0.070	0.820	0.821	0.001	0.467	0.030	0.000
24	4	0	1	0	0	112	0.0120	0.0088	0.00023	8.076	0.123	0.995	0.997	0.002	0.433	0.044	0.000
43	3	0	1	0	0	137	0.0120	0.0088	0.00023	14.321	0.072	1.025	1.026	0.001	0.433	0.126	0.000
31	4	0	1	0	0	109	0.0120	0.0088	0.00023	12.872	0.077	0.987	0.988	0.001	0.433	0.037	0.000
