col	row	region_id	res_old	res_new	ppf	ppf2	ssq	cf	ie	dr	used_in_est	clonal
46	4	0	0.0029	0.0448	0.4688	0.4667	1.2929	0.0005	0.0103	0.0002	1	1
17	3	0	0.0091	0.0424	0.3750	0.4833	0.9908	0.0154	0.0047	0.0002	1	1
2	5	0	0.0033	0.0246	0.4062	0.4167	0.7487	0.0000	0.0123	0.0002	0	1
47	4	0	0.0019	0.0411	0.5312	0.6000	1.9161	0.0023	0.0104	0.0002	1	1
8	5	0	0.0032	0.0401	0.4688	0.5000	0.6900	0.0000	0.0050	0.0002	0	1
11	5	0	0.0079	0.0774	0.5625	0.6833	2.7710	0.0000	0.0116	0.0002	0	1
0	5	0	0.0019	0.0263	0.3750	0.4167	1.6117	0.0000	0.0084	0.0002	0	1
30	4	0	0.0210	0.1164	0.4688	0.5667	3.5297	0.0025	0.0035	0.0002	1	1
1	5	0	0.0018	0.0412	0.4062	0.4333	1.1509	0.0147	0.0106	0.0002	1	1
5	5	0	0.0050	0.1196	0.4375	0.6167	1.7053	0.0300	0.0238	0.0002	0	1
13	5	0	0.0023	0.0334	0.4375	0.5000	1.5235	0.0000	0.0039	0.0002	0	1
25	3	0	0.0219	0.1793	0.8438	0.9333	5.6870	0.0000	0.0000	0.0002	0	1
21	3	0	0.0030	0.0508	0.4375	0.4500	0.8418	0.0033	0.0090	0.0002	1	1
42	3	0	0.0026	0.0345	0.4375	0.4167	1.4701	0.0000	0.0121	0.0002	0	1
12	5	0	0.0125	0.0936	0.4375	0.5000	2.0437	0.0075	0.0106	0.0002	1	1
24	5	0	0.0014	0.0367	0.3750	0.4000	0.7802	0.0135	0.0090	0.0002	1	1
21	5	0	0.0019	0.0461	0.4688	0.4833	1.2827	0.0059	0.0084	0.0002	1	1
23	5	0	0.0296	0.1532	0.5625	0.7833	4.7983	0.0300	0.0300	0.0002	0	1
12	4	0	0.0020	0.0338	0.4688	0.4667	1.3722	0.0054	0.0076	0.0002	1	1
27	5	0	0.0015	0.0192	0.5000	0.4500	0.9133	0.0075	0.0071	0.0002	1	1
25	5	0	0.0010	0.0340	0.4062	0.4667	1.2198	0.0060	0.0060	0.0002	1	1
6	5	0	0.0112	0.0931	0.4375	0.5833	3.0602	0.0274	0.0172	0.0002	1	1
32	5	0	0.0020	0.0533	0.4375	0.4833	1.0977	0.0094	0.0046	0.0002	1	1
29	5	0	0.0048	0.0709	0.5000	0.5500	2.8140	0.0300	0.0204	0.0002	0	1
28	5	0	0.0062	0.0384	0.3125	0.3833	0.9880	0.0000	0.0169	0.0002	0	1
